id	parent	type	name	body	created_at	updated_at
11	1	1	Question 9.0	{"blocks":[{"key":"4s1j1","text":"A hepatitis panel is ordered for a 27-year-old woman as part of a routine work-up for abdominal pain. Results of serologic testing are negative for HBeAg and HBsAg, but positive for HBsAb and IgG HBcAb. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"16b6s","text":"Which of the following is the appropriate conclusion?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"7n8ua","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 15:45:32	2019-09-05 15:45:32
12	1	4	Question 10.0	{"blocks":[{"key":"a89is","text":"A 43-year-old man living in Mexico presents to a clinic complaining of constipation and stomach pains for several months. On cardiac examination, the physician discovers a laterally displaced point of maximal impact. Radiological studies reveal pulmonary congestion, cardiomegaly, and megacolon. Sadly, the physician can only offer the patient symptomatic treatment. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"cun27","text":"What insect is the most likely route of transmission for this patient’s illness?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"2kqlq","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 15:48:48	2019-09-05 15:48:48
13	1	1	Question 11.0	{"blocks":[{"key":"n0s0","text":"A patient in the hospital develops pleuritic chest pain, shortness of breath, fever, chills, productive cough, and colored sputum after 3 days of being in the hospital for major surgery. Physical examination shows tenderness to palpation without any areas of increased tactile fremitus. Blood and sputum cultures confirm gram-negative rods that ferment lactose, have a large mucoid capsule, and form viscous colonies. The patient subsequently dies from her infection. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"9b8jv","text":"Which of the following is most likely to be found at autopsy?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"cdfri","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 15:54:48	2019-09-05 15:54:48
14	1	4	Question 12.0	{"blocks":[{"key":"2fufi","text":"A homeless 37-year-old woman with HIV infection comes to the clinic with a 4-week history of worsening hemiparesis, visual field deficits, and cognitive impairment. She has gone 2 years without antiretroviral therapy. The patient’s CD4+ cell count is 22/mm3. MRI shows several hyperintensities on T2-weighted images that do not enhance with contrast and are not surrounded by edema. A lumbar puncture shows a normal opening pressure, and cerebrospinal fluid analysis shows a mildly elevated protein level and the presence of myelin basic protein, with a mild mononuclear pleocytosis.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"8f7ps","text":"Which of the following entities is most likely responsible for this patient’s clinical picture?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 15:57:47	2019-09-05 15:57:47
15	1	1	Question 13.0	{"blocks":[{"key":"8brsa","text":"A sexually active 14-year-old boy comes to the physician because of a rash on his trunk and genital area. Physical examination reveals the findings shown in the image. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"dq3ln","text":"Which of the following types of virus most likely caused this patient’s clinical findings?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"1vsp5","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"ftqss","text":" ","type":"atomic","depth":0,"inlineStyleRanges":[],"entityRanges":[{"offset":0,"length":1,"key":0}],"data":{}},{"key":"880c6","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{"0":{"type":"IMAGE","mutability":"MUTABLE","data":{"src":"http://api.reel-lms.com/images/WqVS8FfgJlmprF04YAGG.JPG","height":"auto","width":"auto","alignment":"left"}}}}	2019-09-05 19:36:15	2019-09-05 19:36:15
16	1	4	Question 14.0	{"blocks":[{"key":"e1pg2","text":"A 22-year-old man visits his college medical center complaining of flu-like symptoms that have persisted for about a week. He reports low-grade fevers, night sweats, a painful sore throat, headaches, and increasing fatigue. He used to exercise 5 days a week but is no longer able to because of a “lack of energy.” Physical examination reveals enlarged cervical lymph nodes and a spleen that is palpable 2 inches below the left costal margin. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"ffa49","text":"What is the structure of the virus that has infected this patient? ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"2u7cf","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 19:40:16	2019-09-05 19:41:36
17	1	1	Question 15.0	{"blocks":[{"key":"6hk2m","text":"A 38-year-old man comes to the emergency department complaining of cyclic fevers and headaches. The fevers began about 1 week ago; 2 weeks ago the patient returned from a trip to Africa. Physical examination reveals splenomegaly, and brain imaging shows signs of significant cerebral involvement. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"b702j","text":"Which of the following parasites most likely caused this patient’s symptoms?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"ea6k","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 19:44:39	2019-09-05 19:44:39
18	1	4	Question 16.0	{"blocks":[{"key":"at9vd","text":"A 32-year-old woman comes to the physician complaining of fever, fatigue, cough, headache, and shaking chills. Physical examination reveals an inflamed area on her right leg that, on closer examination, appears to be a tick bite. Blood samples are sent for laboratory examination, and the result of the blood smear is shown in the image. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"aa21i","text":"This patient is most likely infected with which of the following protozoa?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"b9v1j","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"am74b","text":" ","type":"atomic","depth":0,"inlineStyleRanges":[],"entityRanges":[{"offset":0,"length":1,"key":0}],"data":{}},{"key":"elgsn","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{"0":{"type":"IMAGE","mutability":"MUTABLE","data":{"src":"http://api.reel-lms.com/images/s92VUkoKCYl5HoHKqWD2.JPG","height":"auto","width":"auto","alignment":"left"}}}}	2019-09-05 19:48:33	2019-09-05 19:49:30
19	1	1	Question 17.0	{"blocks":[{"key":"92l2a","text":"Oncogenic viruses act through a variety of mechanisms. Some introduce oncogenes directly into host cells, while others force cells to repeatedly undergo cycles of proliferation that eventually become unregulated. Still others introduce oncogenic potential by manipulating chromosomal structure through deletions or translocations. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"4gcjj","text":"Which of the following viruses causes neoplasia by inactivating tumor suppressor genes such as p53 and Rb?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"220mi","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 19:52:20	2019-09-05 19:52:20
20	1	4	Question 18.0	{"blocks":[{"key":"4ltvj","text":"A 30-year-old woman comes to the physician because of a fever of 38.4°C (101.1°F) and a diffuse macular rash on her torso. Her blood pressure is 91/51 mm Hg. The physician obtains a culture from her vagina that shows catalase-positive, gram-positive cocci. Over the next few days, the rash on her torso desquamates. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"73cnh","text":"Which of the following organisms is most likely responsible for this patient’s symptoms?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"f0ef1","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 19:55:04	2019-09-05 19:55:04
21	1	1	Question 19.0	{"blocks":[{"key":"3pe2o","text":"A young girl living in rural New Mexico is brought to her pediatrician with complaints of fever, cough, and fatigue for the past 2 weeks. The physician notices that the patient is having intermittent bouts of many coughs in a single breath followed by a deep inspiration. The parents report this pattern of cough had started in the past 2 days. The physician informs them that their daughter will most likely recover with only supportive care. However, he wants to confirm his diagnosis, so he sends a throat swab for culture. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"8jo6e","text":"What type of medium should be used to grow the bacteria that are causing this patient’s symptoms?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"a61ov","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 19:57:59	2019-09-05 19:57:59
22	1	4	Question 20.0	{"blocks":[{"key":"dn93e","text":"A 40-year-old man comes to the emergency department because of diplopia and dysphagia that developed after he consumed homemade strawberry jam. While in the emergency department, he develops general muscle weakness and requires intubation due to sudden respiratory muscle paralysis. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"erd8q","text":"Which of the following pathogens is most likely responsible for this patient’s condition?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"ckk59","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:00:56	2019-09-05 20:00:56
23	1	4	Question 21.0	{"blocks":[{"key":"93hts","text":"An elderly man returns to New York after spending the winter in Arizona. Over the course of the next several weeks, he develops breathing difficulty, productive cough, and joint pain. He visits his physician, who orders an x-ray of the chest, which reveals infiltrates in the lungs with evidence of granulomas. A PPD test is negative, but a tissue specimen from biopsy reveals a fungus with endospores containing spherules when grown at 37°C and branched hyphae when grown at 25°C. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"3332q","text":"What is the most likely cause of his symptoms?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"8cbs2","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:04:08	2019-09-05 20:04:08
24	1	1	Question 22.0	{"blocks":[{"key":"f9j26","text":"After a long camping trip in the woods, a 29-year-old man comes to the physician complaining of fever and general malaise. His physical examination is significant for a well-demarcated skin lesion with a black base on his arm. The patient recalls that earlier during his camping trip, there had been a small, itchy bump at the site of the lesion. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"156d9","text":"Which of the following organisms is most likely responsible for this patient’s disease?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"373p3","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:07:44	2019-09-05 20:07:44
25	1	4	Question 23.0	{"blocks":[{"key":"akoj3","text":"A 45-year-old man presents to the clinic complaining of several weeks of vague abdominal discomfort and early satiety. The physician orders upper gastrointestinal endoscopy as part of his work-up. During the study, mucosal rigidity and hyperplasia are seen in the stomach, and a biopsy is taken from the affected area. Microscopic analysis of the biopsy specimen shows sheets of atypical lymphocytes. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"fif5o","text":"The organism believed to be associated with this condition is best described by which set of laboratory results?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"cc16r","text":" ","type":"atomic","depth":0,"inlineStyleRanges":[],"entityRanges":[{"offset":0,"length":1,"key":0}],"data":{}},{"key":"9ata8","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{"0":{"type":"IMAGE","mutability":"MUTABLE","data":{"src":"http://api.reel-lms.com/images/CH8oxQDwtMR6yAmwr0XK.JPG","height":"auto","width":"auto","alignment":"left"}}}}	2019-09-05 20:12:32	2019-09-05 20:12:32
26	1	1	Question 24.0	{"blocks":[{"key":"3jquk","text":"A 36-year-old man comes to the physician because he is experiencing abdominal pain, vomiting, and a non-bloody diarrhea. He last ate chicken and rice about 6 hours ago at a Chinese restaurant. He has no other symptoms. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"1ofgc","text":"Which of the following treatments should this man receive?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"fa0ld","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:15:32	2019-09-05 20:15:32
27	1	4	Question 25.0	{"blocks":[{"key":"91foh","text":"An 87-year-old man is hospitalized after falling and breaking his hip. After 6 days in the hospital, he develops burning on urination. Urinalysis shows leukocytosis and many gram-positive cocci. The patient is treated with trimethoprim-sulfamethoxazole, but his fever persists. Two days later, the patient has a low-grade fever and new onset of a diastolic murmur that radiates to the axilla. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"3amt2","text":"Which of the following is the first-line treatment for the probable cause of this patient’s infection?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"30bgj","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:18:28	2019-09-05 20:18:28
28	1	1	Question 26.0	{"blocks":[{"key":"d925a","text":"A 4-year-old boy presents to the pediatric emergency department with the classic meningitis triad of fever, headache, and nuchal rigidity. A lumbar puncture is performed, and analysis of the fluid shows an increase in polymorphonuclear cells, an increased protein level, and a decreased glucose level. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"4bh33","text":"Which of the following is the most common cause of meningitis in a child of this age with this clinical picture?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"8ks79","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:21:28	2019-09-05 20:21:28
29	1	4	Question 27.0	{"blocks":[{"key":"7fuqm","text":"A 32-year-old man presents to his doctor with painful urination and a purulent urethral discharge. The image shows cells that have been cultured from this discharge. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"114bd","text":"Which of the following is the treatment of choice for this infection?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"1k11l","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"5ubl2","text":" ","type":"atomic","depth":0,"inlineStyleRanges":[],"entityRanges":[{"offset":0,"length":1,"key":0}],"data":{}},{"key":"cfckd","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{"0":{"type":"IMAGE","mutability":"MUTABLE","data":{"src":"http://api.reel-lms.com/images/ajTaRHvuyPhEMKWkvjhT.JPG","height":"auto","width":"auto","alignment":"left"}}}}	2019-09-05 20:25:38	2019-09-05 20:25:38
30	1	1	Question 28.0	{"blocks":[{"key":"ahmt7","text":"A 43-year-old man presents with flu-like symptoms, fevers, chills, and a productive cough. Physical examination is remarkable for pleuritic chest pain. On questioning, the patient says that he has just spent the last week on vacation in Central America. Cultures taken from the patient show a broad-based budding fungus. It is concluded that the man has systemic blastomycosis infection. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"jcl6","text":"Which of the following agents is the most appropriate treatment for this patient?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"132og","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:28:18	2019-09-05 20:28:18
31	1	4	Question 28.0	{"blocks":[{"key":"c9i94","text":"A 73-year-old woman steps on a rusty nail while gardening in her back yard. A neighbor drives her to the emergency department, where her wound is cleaned and bandaged. A complete history and review of her medical chart indicates that her vaccinations are not up to date, and she requires one vaccination and a shot of the appropriate immunoglobulin as prophylaxis against infection. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"2ndk8","text":"What is the mechanism of toxicity of the organism for which she was vaccinated?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"8a332","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:31:58	2019-09-05 20:31:58
32	1	1	Question 29.0	{"blocks":[{"key":"ea64p","text":"A 50-year-old man develops non-bloody watery diarrhea while working as an aid worker in a refugee camp in Bangladesh. He arrived in the area 2 days ago. A stool smear shows no WBCs. He subsequently develops dehydration and electrolyte abnormalities leading to cardiac and renal failure. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"b26g8","text":"Which of the following organisms is the most likely cause of this man’s enterocolitis?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"10pl5","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:35:33	2019-09-05 20:35:33
33	1	4	Question 30.0	{"blocks":[{"key":"pgo6","text":"A 13-year-old girl who returned a few days ago from a school camping trip in North Carolina is home ill from school. She tells her parents that she has a headache and the chills. Over the next few days, she develops a rash that begins on her palms and soles, but spreads inward to her wrists and ankles and then to her trunk. Her worsening condition leads her parents to take her to the emergency department, where a blood test reveals antibodies that react with the Proteus antigen. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"aerru","text":"This patient is most likely infected with which of the following?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"2pdq1","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 20:39:13	2019-09-05 20:39:13
