id	parent	body	feedback	right	created_at	updated_at
34	6	Monospot test	{"blocks":[{"key":"b15i5","text":"Answer C is incorrect. The monospot test detects heterophile antibodies by the agglutination of sheep RBCs, indicative of EBV infection. While EBV can cause mononucleosis and Burkitt’s lymphoma, it is not one of the ToRCHeS organisms and does not transmit pavertically to the fetus. Moreover, EBV does not produce genital lesions.","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":330,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:46:42	2019-09-05 14:46:42
35	6	Tzanck smear for multinucleated giant cells	{"blocks":[{"key":"mr4f","text":"The correct answer is D. ToRCHeS is an acronym for organisms that can cross the placenta and cause congenital anomalies: Toxoplasmosis, Rubella, Cytomegalovirus, HIV/Herpes, and Syphilis. Genital lesions suggest a sexually transmitted disease. The Tzanck test is a smear of an opened skin vesicle that detects multinucleated giant cells, indicative of HSV types 1 and 2 or VZV. HSV-1, HSV-2, and VZV may all be transmitted vertically to the fetus. Remember: “Tzanck heaven I don’t have herpes!” In the United States today, CMV is the most common cause of congenital abnormalities. Answer A is incorrect. The presence of anti-HB surface antibody indicates immunity to the hepatitis B virus, either by previous exposure or by vaccination. While active or chronic hepatitis B can be vertically transmitted to the fetus, it does not cause congenital anomalies. Furthermore, hepatitis B is not associated with genital lesions.","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":921,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 14:46:42	2019-09-05 14:46:42
36	6	Weil-Felix test	{"blocks":[{"key":"62sb5","text":"Answer E is incorrect. The Weil-Felix test uses Proteus antigen to test for anti-rickettsial antibodies, indicative of typhus or Rocky Mountain spotted fever. Rickettsia species can cause headache, fever, and rash; however, they do not produce genital lesions.","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":260,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:46:42	2019-09-05 14:46:42
37	7	Councilman bodies	{"blocks":[{"key":"39p7b","text":"The correct answer is A. The disease described is yellow fever, caused by a member of the Flaviviridae family. It presents with symptoms of jaundice, aching pain, and high fever. Its vector is the mosquito. Liver biopsy can reveal Councilman bodies, which are eosinophilic globules believed to be the result of apoptosis of individual hepatocytes","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 14:52:33	2019-09-05 14:52:33
38	7	Döhle bodies	{"blocks":[{"key":"f2jq3","text":"Answer B is incorrect. Döhle bodies are oval bodies found in the neutrophils of patients with infections, trauma, pregnancy, or cancer","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:52:33	2019-09-05 14:52:33
39	7	Negri bodies	{"blocks":[{"key":"bhe9i","text":"Answer C is incorrect. Negri bodies are pathognomonic for the rabies virus. They are eosinophilic inclusion bodies found in the cytoplasm of nerve cells of infected individuals.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:52:33	2019-09-05 14:52:33
40	7	Pappenheimer bodies	{"blocks":[{"key":"4qh64","text":"Answer D is incorrect. Pappenheimer bodies are found in RBCs in sideroblastic anemia and sickle cell disease. They are phagosomes containing ferruginous granules.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:52:33	2019-09-05 14:52:33
41	7	Weibel-Palade bodies	{"blocks":[{"key":"15m8f","text":"Answer E is incorrect. Weibel-Palade bodies can be seen by electron microscopy in vascular endothelial cells. They are collections of microtubules.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:52:33	2019-09-05 14:52:33
42	8	Catalase-positive and coagulase-negative	{"blocks":[{"key":"5dm2m","text":"Answer A is incorrect. While S. aureus is indeed catalase-positive, it is not coagulase-negative. This answer instead describes the properties of S. epidermidis. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:56:29	2019-09-05 14:56:29
43	8	Catalase-positive and coagulase-positive	{"blocks":[{"key":"b0ucu","text":"The correct answer is B. This man is suffering from septic arthritis, commonly characterized by a swollen, tender, and erythematous joint. The organism most commonly responsible for this infection is Staphylococcus aureus. The infection results from the invasion of the bacteria into the synovial fluid. The diagnosis of septic arthritis requires aspiration of the synovial fluid, which appears yellow and turbid with a predominance of neutrophils. When Staphylococcus is the causative agent, Gram stain and culture of the synovial fluid show gram-positive cocci in clusters. S. aureus is catalase-positive and coagulase-positive","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 14:56:29	2019-09-05 14:56:29
44	8	Glycoprotein capsule	{"blocks":[{"key":"ejugq","text":"Answer C is incorrect. S. aureus does not possess a glycoprotein capsule. S. pneumoniae is a gram-positive cocci that does possess a glycoprotein capsule.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:56:29	2019-09-05 14:56:29
45	8	α-Hemolysis	{"blocks":[{"key":"5orsk","text":"Answer D is incorrect. S. aureus displays a β-hemolytic pattern, not an α-hemolytic pattern. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:56:29	2019-09-05 14:56:29
46	8	Soluble in bile	{"blocks":[{"key":"5o9g9","text":"Answer E is incorrect. Bile solubility is not a characteristic property of S. aureus; instead, it is a property of S. pneumoniae.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:56:29	2019-09-05 14:56:29
62	3	Papillary dermis	{"blocks":[{"key":"fg40u","text":"Answer A is incorrect. The papillary dermis is the more superficial of the two layers of the dermis. Its papillae interdigitate with the epidermis. It\nis composed of loose connective tissue containing capillaries, elastic fibers, reticular fibers, and some collagen.  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":267,"style":"fontsize-12pt"},{"offset":0,"length":267,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:01:36	2019-09-05 15:01:36
63	3	Stratum basale	{"blocks":[{"key":"27cfq","text":"Answer B is incorrect. The stratum basale (also called the stratum germinativum) is the deepest layer of the epidermis, immediately superficial to the dermoepidermal junction. It is composed of a single row of cuboidal or columnar keratinocytes attached to the basement membrane via hemidesmosomes. The cells of this basal layer are stem cells, and they allow the epidermis to regenerate after the more superficial layers exfoliate in staphylococcal scalded skin syndrome. ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":472,"style":"fontsize-12pt"},{"offset":0,"length":472,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:01:36	2019-09-05 15:01:36
64	3	Stratum corneum	{"blocks":[{"key":"7uiln","text":" Answer C is incorrect. The stratum corneum is the outer layer of the epidermis, consisting of several layers of flat keratinized nonnucleated cells.  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":148,"style":"fontsize-12pt"},{"offset":1,"length":148,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:01:36	2019-09-05 15:01:36
65	3	Stratum granulosum	{"blocks":[{"key":"66d2g","text":"The correct answer is D. The image shows gram-positive cocci in clusters. Staphylococcal scalded skin syndrome is caused by the release of two exotoxins (epidermolytic toxins A and B) from Staphylococcus aureus. In staphylococcal scalded skin syndrome, the epidermis separates at the stratum granulosum due to the binding of exotoxins in this layer. Clinically, this results in bullous lesions and a positive Nikolsky’s sign.  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":426,"style":"fontsize-12pt"},{"offset":0,"length":426,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 15:01:36	2019-09-05 15:01:36
66	3	Stratum lucidum	{"blocks":[{"key":"1id1a","text":" Answer E is incorrect. The stratum lucidum is a layer just deep to the stratum corneum that is present only in the thick, hairless skin of the palms and soles.  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":159,"style":"fontsize-12pt"},{"offset":1,"length":159,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:01:36	2019-09-05 15:01:36
67	9	Catalase-negative, α-hemolytic, optochinresistant	{"blocks":[{"key":"2rmmt","text":"Answer A is incorrect. Catalase-negative, α-hemolytic, optochin-resistant describes the viridans streptococci. Streptococcus mutans is associated with the formation of dental caries. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:15:47	2019-09-05 15:15:47
68	9	Catalase-negative, α-hemolytic, optochinsensitive	{"blocks":[{"key":"a7o07","text":"Answer B is incorrect. Catalase-negative, α-hemolytic, optochin-sensitive describes Streptococcus pneumoniae. This organism causes pneumonia and otitis media. Rates of S. pneumoniae meningitis have decreased with the advent of the pneumococcal vaccine. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:15:47	2019-09-05 15:15:47
69	9	Catalase-negative, β-hemolytic, bacitracinresistant	{"blocks":[{"key":"a38ss","text":"Answer C is incorrect. Catalase-negative, β-hemolytic, bacitracin-resistant describes Streptococcus agalactiae, or group B streptococcus. S. agalactiae is a significant cause of serious bacterial infection in neonates.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:15:47	2019-09-05 15:15:47
70	9	Catalase-negative, β-hemolytic, bacitracinsensitive	{"blocks":[{"key":"31i74","text":"The correct answer is D. This patient has a classic presentation (fever, sore throat, anterior cervical lymphadenopathy, lack of cough) of streptococcal pharyngitis, or strep throat. Strep throat is caused by Streptococcus pyogenes, or group A streptococcus. Diagnosis is confirmed with a rapid strep test or with throat swab culture. The treatment of choice is penicillin. To differentiate this organism from other gram-positive organisms, several tests can be performed in the lab. For example, when cultured on blood agar, S. pyogenes creates a clear halo (β-hemolysis) around the colonies due to damage of the RBCs. To further differentiate streptococcal species, sensitivity to different antibiotics is measured. S. pyogenes is sensitive to bacitracin","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 15:15:47	2019-09-05 15:15:47
71	9	Catalase-positive, coagulase-negative, novobiocin-resistant	{"blocks":[{"key":"4ehrj","text":"Answer E is incorrect. Catalase-positive, coagulase-negative, novobiocin-resistant describes Staphylococcus saprophyticus. This is the second most common cause of urinary tract infection in young, healthy women.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:15:47	2019-09-05 15:15:47
72	9	Catalase-positive, coagulase-negative, novobiocin-sensitive	{"blocks":[{"key":"4m9o3","text":"Answer F is incorrect. Catalase-positive, coagulase-negative, novobiocin-sensitive describes Staphylococcus epidermidis. Infection with S. epidermidis is associated with skin penetration by implanted prosthetic devices such as prosthetic heart valves, intravenous lines, and intraperitoneal catheters.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:15:47	2019-09-05 15:15:47
73	10	Acyclovir	{"blocks":[{"key":"7uql6","text":"Answer A is incorrect. Acyclovir is used to treat herpes infections. It is activated by viral thymidine kinase, whereupon it inhibits the herpes viral polymerase. It can be used to treat herpes simplex virus (HSV) types 1 and 2, varicella zoster virus (VSV), and Epstein-Barr virus (EBV) infections. It is not effective for bacterial organisms.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:36:11	2019-09-05 15:36:11
74	10	Ceftriaxone	{"blocks":[{"key":"1he8d","text":"The correct answer is B. The differential diagnosis of a genital ulcer in a sexually active patient should include primary syphilis (though these ulcers are usually painless), genital herpes, and chancroid. Because the Tzanck smear (which looks for multinucleated giant cells typical of herpes infection), viral polymerase chain reaction (used to look for herpesvirus) are both negative, as is the VDRL to test for syphilis, chancroid becomes most likely. Chancroid is a bacterial infection caused by Haemophilus ducreyi, which presents typically as a painful genital ulcer with associated inguinal lymphadenopathy. It is typically treated with ceftriaxone, though azithromycin or ciprofloxacin can be used. Vancomycin is effective only for gram-positive organisms.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 15:36:11	2019-09-05 15:36:11
75	10	Foscarnet	{"blocks":[{"key":"7gdrk","text":"Answer C is incorrect. Foscarnet inhibits viral DNA polymerase without the need of activation by thymidine kinase. It is used to treat cytomegalovirus (CMV) retinitis, but it can also be used to treat acyclovir-resistant HSV. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:36:11	2019-09-05 15:36:11
76	10	Ribavirin	{"blocks":[{"key":"85t17","text":"Answer D is incorrect. Ribavirin is used to treat respiratory syncytial virus. It functions by inhibiting inosine monophosphate dehydrogenase, thus blocking the synthesis of guanine nucleotides.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:36:11	2019-09-05 15:36:11
77	10	Vancomycin	{"blocks":[{"key":"fhbs6","text":"Answer E is incorrect. Vancomycin is a bactericidal antibiotic used for multidrug-resistant gram-positive organisms such as Staphylococcus aureus and Clostridium difficile. It functions by binding to mucopeptide precursors, preventing formation of the bacterial cell wall.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:36:11	2019-09-05 15:36:11
78	11	The patient has been exposed to hepatitis B and has completely recovered	{"blocks":[{"key":"aqb9u","text":"The correct answer is A. This patient has been exposed to hepatitis B and has completely recovered, as is demonstrated by her serologic markers. She does not carry the hepatitis B surface antigen (HBsAg), which is found on the surface of the hepatitis B virus and indicates a carrier state. She does carry the surface antibody, which indicates that she was exposed to hepatitis B and made antibodies to convey immunity. The fact that she also has IgG antibody to the core antibody (HBcAb) shows that she has recovered. HBcAb is also positive in the chronic state, but in that case she would not also have HBsAb. To have both HBcAb and HBsAb without HBsAg is an indication of complete recovery","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 15:45:32	2019-09-05 15:45:32
79	11	The patient has been exposed to hepatitis B and is in the acute disease phase	{"blocks":[{"key":"fmint","text":"Answer B is incorrect. The patient has completely recovered and is not in the acute disease phase.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:45:32	2019-09-05 15:45:32
80	11	The patient has been exposed to hepatitis B and is in the window phase	{"blocks":[{"key":"2kc4q","text":"Answer C is incorrect. The patient has completely recovered. In the window phase, HBsAg and HBsAb are both absent. The presence of HBsAb means she is not in the window phase.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:45:32	2019-09-05 15:45:32
81	11	The patient has been exposed to hepatitis B and is now chronically infected	{"blocks":[{"key":"aj0es","text":"Answer D is incorrect. The patient has completely recovered, and the absence of HBsAg confirms that she is not chronically infected","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:45:32	2019-09-05 15:45:32
82	11	The patient has been exposed to hepatitis B but was never infected	{"blocks":[{"key":"2e1t3","text":"Answer E is incorrect. The patient has completely recovered, but the presence of antibodies implies that she was once infected.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:45:32	2019-09-05 15:45:32
83	12	Anopheles mosquito	{"blocks":[{"key":"3hp6p","text":"Answer A is incorrect. The Anopheles mosquito is responsible for transmission of the four Plasmodia species that cause malaria.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:48:48	2019-09-05 15:48:48
84	12	Ixodes tick	{"blocks":[{"key":"ceile","text":"Answer B is incorrect. The Ixodes tick transmits Borrelia burgdorferi (the cause of Lyme disease) as well as Babesia.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:48:48	2019-09-05 15:48:48
85	12	Reduviid bug	{"blocks":[{"key":"84pj4","text":"The correct answer is C. This patient is presenting with Chagas’ disease, which is caused by infection with Trypanosoma cruzi. Acute symptoms include chagomas (small dermal granulomas caused by local multiplication of the pathogen), myocarditis, and congestive heart failure as a severe, but rare, complication of myocarditis. More chronic symptoms include arrhythmias, dilated cardiomyopathy, megacolon, and megaesophagus as T. cruzi infects cardiac tissue and colonic nerves. Treatment is mainly symptomatic, although nifurtimox is used during acute stages of infection. Another form of infection occurs when the organism enters the body through the conjunctiva. In that case, eye edema known as Romaña’s sign occurs. Chagas’ disease is mostly transmitted by the reduviid bug in Central and South America","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 15:48:48	2019-09-05 15:48:48
86	12	Sand fly	{"blocks":[{"key":"b2jft","text":"Answer D is incorrect. The sand fly is responsible for transmission of Leishmania donovani, also known as “kala-azar” or visceral leishmaniasis. The clinical picture includes hepatosplenomegaly, anemia, and eventual leukopenia. Light-skinned patients may present with darkened skin.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:48:48	2019-09-05 15:48:48
87	12	Tsetse fly	{"blocks":[{"key":"6ks7n","text":"Answer E is incorrect. The tsetse fly carries Trypanosoma brucei gambiense and T. brucei rhodesiense, the two causes of African sleeping sickness. In this disease, patients complain of repeatedly falling asleep in addition to headaches and dizziness. Other symptoms include recurrent fevers and lymphadenopathy. T. brucei rhodesiense causes a much more acute infection, while T. brucei gambiense causes a more indolent and progressive disease.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:48:48	2019-09-05 15:48:48
88	13	Acute inflammatory infiltrates from bronchioles into adjacent alveoli	{"blocks":[{"key":"c5kdk","text":"The correct answer is A. The characteristics of the microorganism indicate infection with Klebsiella species, while the physical exam points to a bronochopneumonia rather than a lobar pneumonia. K. pneumoniae is a gram-negative rod that ferments lactose and has a mucoid capsule. Bronchopneumonias are characterized by acute inflammatory infiltrates from bronchioles into adjacent alveoli. Pneumonia resulting from infection by this bacterium is often caused by aspiration, so that it is often seen in people with a loss of consciousness (ie, alcoholics). It is also more common in patients with diabetes","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 15:54:48	2019-09-05 15:54:48
89	13	Congestion, red hepatization, gray hepatization, and resolution	{"blocks":[{"key":"5t7dg","text":"Answer B is incorrect. Lobar pneumonia, most frequently due to Streptococcus pneumoniae, morphologically evolves through four stages without treatment: congestion, red hepatization, gray hepatization, and resolution. S. pneumoniae is an encapsulated gram-positive coccus. It is known for causing rust-colored sputum. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:54:48	2019-09-05 15:54:48
90	13	Diffuse, patchy inflammation localized to the alveolar wall interstitium	{"blocks":[{"key":"dkr00","text":"Answer C is incorrect. Interstitial pneumonias, from mycoplasma and viruses, are characterized by diffuse patchy inflammation localized to interstitial areas at alveolar walls.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:54:48	2019-09-05 15:54:48
91	13	Intra-alveolar hyaline membranes without alveolar space exudates	{"blocks":[{"key":"a92qc","text":"Answer D is incorrect. Interstitial pneumonias, from mycoplasma and viruses, are characterized by diffuse patchy inflammation localized to interstitial areas at alveolar walls. They also have no exudates in alveolar spaces but have intra-alveolar hyaline membranes.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:54:48	2019-09-05 15:54:48
92	13	Predominantly intra-alveolar exudate resulting in consolidation	{"blocks":[{"key":"8aqob","text":"Answer E is incorrect. Lobar pneumonia, most frequently due to Streptococcus pneumoniae, characteristically has predominantly intra-alveolar exudates, resulting in consolidation.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:54:48	2019-09-05 15:54:48
93	14	Cytomegalovirus encephalitis	{"blocks":[{"key":"13j2q","text":"Answer A is incorrect. CMV encephalitis can mimic the appearance of progressive multifocal leukoencephalopathy but would be associated with enhancing periventricular white matter lesions in cortical and subependymal regions. CMV encephalitis is also typically associated with more systemic signs and symptoms. Polymerase chain reaction analysis of CSF would be positive for CMV, and histologic exam shows giant cells with eosinophilic inclusions in both the cytoplasm and the nucleus. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 15:57:47	2019-09-05 15:57:47
